"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.127888000E-3,1.915361360E-2,7.422025502E-2,9.837775230E0,9.838073846E0
9.111499000E-3,2.154781483E-2,8.619125932E-2,9.761159897E0,9.761564207E0
1.482284600E-2,1.675941236E-2,5.985504389E-2,9.935936928E0,9.936131347E0
1.609991100E-2,2.633621916E-2,5.506663769E-2,9.904812813E0,9.905000898E0
1.790953900E-2,3.112462163E-2,4.548983276E-2,9.844957352E0,9.845111646E0
2.009764900E-2,1.915361360E-2,6.464344263E-2,9.761159897E0,9.761392737E0
2.191092300E-2,2.154781483E-2,8.379705995E-2,9.797073364E0,9.797455423E0
2.406486900E-2,2.154781483E-2,9.337386489E-2,9.825803757E0,9.826271035E0
2.590065400E-2,1.915361360E-2,8.379705995E-2,9.856928825E0,9.857303621E0
2.806260800E-2,2.154781483E-2,7.900865376E-2,9.837775230E0,9.838116088E0
3.001023100E-2,2.633621916E-2,7.422025502E-2,9.828198433E0,9.828513961E0
3.206034500E-2,4.309562966E-2,7.900865376E-2,9.816226959E0,9.816639512E0
3.386973100E-2,3.591302410E-2,8.858546615E-2,9.825803757E0,9.826268702E0
3.605808300E-2,4.070143029E-2,8.619125932E-2,9.811438560E0,9.811901557E0
3.785226900E-2,3.351882473E-2,8.379705995E-2,9.799467087E0,9.799882685E0
4.002530400E-2,1.197100803E-2,9.337386489E-2,9.804255486E0,9.804707421E0
4.185069200E-2,3.351882473E-2,1.173158810E-1,9.811438560E0,9.812197162E0
4.408407600E-2,2.633621916E-2,1.101332754E-1,9.830592155E0,9.831244329E0
4.590319200E-2,2.873042040E-2,9.816227108E-2,9.837775230E0,9.838306905E0
4.814284800E-2,3.591302410E-2,8.140286058E-2,9.840168953E0,9.840571182E0
5.014561500E-2,2.633621916E-2,9.097966552E-2,9.856928825E0,9.857383870E0
5.214058600E-2,1.675941236E-2,8.858546615E-2,9.866505623E0,9.866917526E0
5.393026900E-2,2.394201607E-2,8.619125932E-2,9.859322548E0,9.859728356E0
5.619935800E-2,3.591302410E-2,1.053448766E-1,9.823410034E0,9.824040512E0
5.802180800E-2,4.309562966E-2,1.101332754E-1,9.816226959E0,9.816939354E0
6.028864700E-2,3.112462163E-2,1.101332754E-1,9.818621635E0,9.819288615E0
6.208807700E-2,4.788403399E-3,9.576806426E-2,9.837775230E0,9.838242523E0
6.431690200E-2,4.788403399E-3,8.379705995E-2,9.842563629E0,9.842921501E0
6.613561500E-2,1.915361360E-2,6.703764945E-2,9.837775230E0,9.838022280E0
6.837567400E-2,4.070143029E-2,6.224924326E-2,9.835380554E0,9.835661758E0
7.033184600E-2,2.873042040E-2,5.506663769E-2,9.809044838E0,9.809241480E0
7.243444600E-2,2.873042040E-2,5.027823523E-2,9.804255486E0,9.804426498E0
7.424746200E-2,2.394201607E-2,6.943184882E-2,9.813833237E0,9.814108049E0
7.646270100E-2,4.788403399E-3,6.703764945E-2,9.837775230E0,9.838004801E0
7.832157700E-2,2.394201700E-3,6.943184882E-2,9.816226959E0,9.816472800E0
8.052147300E-2,2.154781483E-2,8.140286058E-2,9.804255486E0,9.804617094E0
8.234930800E-2,2.633621916E-2,9.337386489E-2,9.806650162E0,9.807130042E0
8.461076300E-2,3.112462163E-2,9.337386489E-2,9.828198433E0,9.828691259E0
8.640730800E-2,1.436521020E-2,8.619125932E-2,9.844957352E0,9.845345121E0
8.863901700E-2,9.576806799E-3,7.182604820E-2,9.844957352E0,9.845224017E0
9.058646200E-2,2.154781483E-2,6.943184882E-2,9.816226959E0,9.816496157E0
9.269778900E-2,2.873042040E-2,7.422025502E-2,9.794678688E0,9.795002026E0
9.448953900E-2,3.112462163E-2,8.140286058E-2,9.797073364E0,9.797460981E0
9.666501000E-2,2.394201607E-2,1.053448766E-1,9.806650162E0,9.807245187E0
9.848934600E-2,3.830722719E-2,8.140286058E-2,9.835380554E0,9.835792013E0
1.006627480E-1,3.351882473E-2,7.182604820E-2,9.844957352E0,9.845276418E0
1.026214620E-1,3.351882473E-2,9.576806426E-2,9.825803757E0,9.826327620E0
1.046604860E-1,3.112462163E-2,1.005564705E-1,9.801861763E0,9.802426963E0
1.064601150E-1,2.154781483E-2,9.816227108E-2,9.816226959E0,9.816741407E0
1.086277070E-1,1.915361360E-2,1.005564705E-1,9.825803757E0,9.826336954E0
1.105525770E-1,1.675941236E-2,9.097966552E-2,9.832986832E0,9.833421999E0
1.126254450E-1,2.154781483E-2,9.337386489E-2,9.832986832E0,9.833453769E0
1.144646920E-1,2.154781483E-2,9.337386489E-2,9.832986832E0,9.833453769E0
1.166231820E-1,3.591302410E-2,1.101332754E-1,9.806650162E0,9.807334321E0
1.184487690E-1,2.873042040E-2,1.077390760E-1,9.773131371E0,9.773767438E0
1.206209210E-1,2.394201607E-2,9.576806426E-2,9.797073364E0,9.797570681E0
1.224492310E-1,4.070143029E-2,7.661445439E-2,9.847352028E0,9.847734173E0
1.245881410E-1,2.394201607E-2,8.379705995E-2,9.856928825E0,9.857314088E0
1.264160000E-1,3.351882473E-2,8.379705995E-2,9.835380554E0,9.835794635E0
1.285858800E-1,3.112462163E-2,9.097966552E-2,9.818621635E0,9.819092466E0
1.305010770E-1,3.591302410E-2,8.619125932E-2,9.799467087E0,9.799911931E0
1.325836180E-1,3.830722719E-2,7.422025502E-2,9.830592155E0,9.830946964E0
1.343915380E-1,3.591302410E-2,6.703764945E-2,9.844957352E0,9.845251091E0
1.365508380E-1,3.351882473E-2,7.900865376E-2,9.844957352E0,9.845331439E0
1.383909230E-1,4.070143029E-2,7.661445439E-2,9.823410034E0,9.823793111E0
1.405485770E-1,4.070143029E-2,7.900865376E-2,9.811438560E0,9.811841091E0
1.423978460E-1,3.591302410E-2,8.858546615E-2,9.799467087E0,9.799933281E0
1.445463140E-1,3.351882473E-2,8.140286058E-2,9.797073364E0,9.797468879E0
1.463670770E-1,2.873042040E-2,9.097966552E-2,9.811438560E0,9.811902433E0
1.485440520E-1,0.000000000E0,6.703764945E-2,9.825803757E0,9.826032440E0
1.504503460E-1,1.436521020E-2,5.506663769E-2,9.799467087E0,9.799632334E0
1.525112730E-1,4.788403399E-3,6.943184882E-2,9.813833237E0,9.814080013E0
1.543438850E-1,4.788403399E-3,7.661445439E-2,9.813833237E0,9.814133456E0
1.565090110E-1,2.633621916E-2,7.422025502E-2,9.818621635E0,9.818937471E0
1.583268080E-1,2.394201607E-2,8.140286058E-2,9.840168953E0,9.840534776E0
1.605067490E-1,1.436521020E-2,8.619125932E-2,9.832986832E0,9.833375073E0
1.623569620E-1,-2.394201700E-3,6.464344263E-2,9.816226959E0,9.816440099E0
1.644739700E-1,7.182605099E-3,9.337386489E-2,9.804255486E0,9.804702744E0
1.663593850E-1,9.576806799E-3,9.576806426E-2,9.811438560E0,9.811910612E0
1.684717080E-1,3.112462163E-2,1.029506698E-1,9.825803757E0,9.826392372E0
1.704094620E-1,3.830722719E-2,1.197100878E-1,9.818621635E0,9.819426092E0
1.724694450E-1,3.351882473E-2,1.077390760E-1,9.821015358E0,9.821663499E0
1.743371540E-1,2.154781483E-2,1.029506698E-1,9.818621635E0,9.819184995E0
1.764366660E-1,7.182605099E-3,9.576806426E-2,9.818621635E0,9.819091299E0
1.783233850E-1,1.436521020E-2,1.101332754E-1,9.818621635E0,9.819249794E0
1.804344040E-1,1.436521020E-2,1.173158810E-1,9.823410034E0,9.824121033E0
1.822480380E-1,1.436521020E-2,9.816227108E-2,9.818621635E0,9.819122823E0
1.844321420E-1,9.576806799E-3,9.337386489E-2,9.816226959E0,9.816675716E0
1.862431920E-1,1.436521020E-2,1.005564705E-1,9.811438560E0,9.811964359E0
